judul,link,ringkasan,tanggal_publikasi,sumber,kata_kunci,domain,lokasi_kejadian,jenis_bencana,judul_bersih,datetime_utc,datetime_wib,datetime_wib_excel,tanggal_wib,waktu_wib,status_verifikasi,is_bencana,verified_by,verified_at,notes
PPNI dan PMI Probolinggo Kirim Relawan dan Bantuan untuk Korban Erupsi Semeru - BeritaNasional.ID,https://news.google.com/rss/articles/CBMipwFBVV95cUxNZ2F5Wl8zTEQ4Q3hzLVJPd0l1aTdRZHAxNUE2QkpEVG9lR2t2MXF0TU9Nc3hhRW9GSkZxYUw1MnIxZko0NHJxTUowVTJtck5mVG5BREZOcTVjMnBjZUpucUppMDNjQy1IMnJtNUxpakRvNzlOVDQ0RGNsb1VLUVVmVmNJejdTZnpINFRwY3RTTUlQZ0JBamR3eWxYYm5ueUhSX1RrUGo4MA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNZ2F5Wl8zTEQ4Q3hzLVJPd0l1aTdRZHAxNUE2QkpEVG9lR2t2MXF0TU9Nc3hhRW9GSkZxYUw1MnIxZko0NHJxTUowVTJtck5mVG5BREZOcTVjMnBjZUpucUppMDNjQy1IMnJtNUxpakRvNzlOVDQ0RGNsb1VLUVVmVmNJejdTZnpINFRwY3RTTUlQZ0JBamR3eWxYYm5ueUhSX1RrUGo4MA?oc=5"" target=""_blank"">PPNI dan PMI Probolinggo Kirim Relawan dan Bantuan untuk Korban Erupsi Semeru</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BeritaNasional.ID</font>",2025-11-27T02:36:16+00:00,BeritaNasional.ID,erupsi,news.google.com,Probolinggo,Erupsi Gunung Api,ppni dan pmi probolinggo kirim relawan dan bantuan untuk korban erupsi semeru beritanasional id,2025-11-27 02:36:16+00:00,2025-11-27 09:36:16+07:00,27-11-2025 09:36:16,27-11-2025,09:36:16,VERIFIED_FALSE,False,admin,2025-11-27T02:43:43.955157+00:00,
"5 Gempa Terkini di Jawa Barat Guncang Garut, Bandung dan Pangandaran, BMKG: Pusat di Darat dan Laut - Tribunpriangan.com",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcjJXeklVbkhxV3lzSVJldzRZYURpOTFGX0VSLVREcGNDaEJMRzBTN25kczdYRTFBNmdPN0IteHdZaUhva3BCd1hIdHdoV1JHcEh4TVFKUHlEWHZ4dy1xVU9aa2dXRzdsTk9CZnI2ekxJU3VOTjk4UG4xTXJrZjgtTTVQSkpPVWNLUkZWZlkxb0xDcXBKX3QtR3c5Ni1KMnRRNmFRcmEweFYyWUFkT1ZvR1BEMGJkdXlURFE3ODNDUjZMTGc1Uk9yM1pibmZ4VkFkUUVWSDFVQ0E3X3Npb1FKXw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcjJXeklVbkhxV3lzSVJldzRZYURpOTFGX0VSLVREcGNDaEJMRzBTN25kczdYRTFBNmdPN0IteHdZaUhva3BCd1hIdHdoV1JHcEh4TVFKUHlEWHZ4dy1xVU9aa2dXRzdsTk9CZnI2ekxJU3VOTjk4UG4xTXJrZjgtTTVQSkpPVWNLUkZWZlkxb0xDcXBKX3QtR3c5Ni1KMnRRNmFRcmEweFYyWUFkT1ZvR1BEMGJkdXlURFE3ODNDUjZMTGc1Uk9yM1pibmZ4VkFkUUVWSDFVQ0E3X3Npb1FKXw?oc=5"" target=""_blank"">5 Gempa Terkini di Jawa Barat Guncang Garut, Bandung dan Pangandaran, BMKG: Pusat di Darat dan Laut</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribunpriangan.com</font>",2025-11-27T02:33:11+00:00,Tribunpriangan.com,gempa bumi,news.google.com,Jawa Barat,Gempa Bumi,5 gempa terkini di jawa barat guncang garut bandung dan pangandaran bmkg pusat di darat dan laut tribunpriangan com,2025-11-27 02:33:11+00:00,2025-11-27 09:33:11+07:00,27-11-2025 09:33:11,27-11-2025,09:33:11,VERIFIED_FALSE,False,admin,2025-11-27T02:50:39.092074+00:00,
"Aceh Utara Terendam Banjir, Bantuan Logistik Kian Menipis - Kompas.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxORVVHYnZ4cXByTm5seFZqY3RjdHF2UVQzQ2dQNVdQNUwybFdSOGl5MjlhNkhXMlRadWVvNl9RU2JhWDBJamw4NDhIZnR2TnFKdnFYTXpLY05Lclg1dGFOaHR4WWFzdy1xNWh6MkFyeXJ1UDJXN1FidzBhaU11ZXlpTWZ0dkRmZUF6R2RqeTY1TDM5RF9VdmtYanJzUzlCbDgzbHFhZWc3M3dyNi1aQ25z?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxORVVHYnZ4cXByTm5seFZqY3RjdHF2UVQzQ2dQNVdQNUwybFdSOGl5MjlhNkhXMlRadWVvNl9RU2JhWDBJamw4NDhIZnR2TnFKdnFYTXpLY05Lclg1dGFOaHR4WWFzdy1xNWh6MkFyeXJ1UDJXN1FidzBhaU11ZXlpTWZ0dkRmZUF6R2RqeTY1TDM5RF9VdmtYanJzUzlCbDgzbHFhZWc3M3dyNi1aQ25z?oc=5"" target=""_blank"">Aceh Utara Terendam Banjir, Bantuan Logistik Kian Menipis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>",2025-11-27T02:32:00+00:00,Kompas.com,banjir,news.google.com,Aceh,Banjir,aceh utara terendam banjir bantuan logistik kian menipis kompas com,2025-11-27 02:32:00+00:00,2025-11-27 09:32:00+07:00,27-11-2025 09:32:00,27-11-2025,09:32:00,UNVERIFIED,,,,
Warga Kambam Muara Batu Terisolasi Akibat Banjir 2 Meter - Komparatif.ID,https://news.google.com/rss/articles/CBMie0FVX3lxTE5kenNZMDBIckQxMnQ5WUZ6ZWJtZTVoVUJMaGJDOFE1bVBGeUw5amNvbmhyelNxamNRYkFnbnZkX0lxZ3RQMm9FNGEyVVhVZTFHMHVvM1ZteUg2RmtEVmg4VVFwQ29JRXJFaTdrcFNOZXExd2pseFYwNGJ5Yw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE5kenNZMDBIckQxMnQ5WUZ6ZWJtZTVoVUJMaGJDOFE1bVBGeUw5amNvbmhyelNxamNRYkFnbnZkX0lxZ3RQMm9FNGEyVVhVZTFHMHVvM1ZteUg2RmtEVmg4VVFwQ29JRXJFaTdrcFNOZXExd2pseFYwNGJ5Yw?oc=5"" target=""_blank"">Warga Kambam Muara Batu Terisolasi Akibat Banjir 2 Meter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Komparatif.ID</font>",2025-11-27T02:31:17+00:00,Komparatif.ID,banjir,news.google.com,Batu,Banjir,warga kambam muara batu terisolasi akibat banjir 2 meter komparatif id,2025-11-27 02:31:17+00:00,2025-11-27 09:31:17+07:00,27-11-2025 09:31:17,27-11-2025,09:31:17,UNVERIFIED,,,,
"Padang Lumpuh Diterjang Banjir Dahsyat: Ribuan Rumah Terendam, Warga Panik Mengungsi - Sakato.co.id",https://news.google.com/rss/articles/CBMipwFBVV95cUxPcFZBSW5JQjJjaEh3ZzUxQjZXbWNBMkJZR3liUWRaS1JuOUpxbmhTZU8yUDVPSlpXeUwyVEtiSG4wR3BVOUIwbEtSVDJWNDNvOXhvWTJmODNxcnU0R0tOaHNpVDZ4Ui1xLVhManNJUmFhWkZEekpidXF0VGdFb0pVRTJRR2ZpaGdpRndaWGg1cnlWQW5qaGFoRzNCZ1ZQTi1tYlljU2dqMA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPcFZBSW5JQjJjaEh3ZzUxQjZXbWNBMkJZR3liUWRaS1JuOUpxbmhTZU8yUDVPSlpXeUwyVEtiSG4wR3BVOUIwbEtSVDJWNDNvOXhvWTJmODNxcnU0R0tOaHNpVDZ4Ui1xLVhManNJUmFhWkZEekpidXF0VGdFb0pVRTJRR2ZpaGdpRndaWGg1cnlWQW5qaGFoRzNCZ1ZQTi1tYlljU2dqMA?oc=5"" target=""_blank"">Padang Lumpuh Diterjang Banjir Dahsyat: Ribuan Rumah Terendam, Warga Panik Mengungsi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sakato.co.id</font>",2025-11-27T02:30:43+00:00,Sakato.co.id,banjir,news.google.com,Padang,Banjir,padang lumpuh diterjang banjir dahsyat ribuan rumah terendam warga panik mengungsi sakato co id,2025-11-27 02:30:43+00:00,2025-11-27 09:30:43+07:00,27-11-2025 09:30:43,27-11-2025,09:30:43,UNVERIFIED,,,,
BPBD Agam: tim kesulitan menuju banjir bandang di Malalak - ANTARA Sumatera Barat,https://news.google.com/rss/articles/CBMiogFBVV95cUxPN0pYOFJUelVHRVJrY3JLTFFhVGctSEQyN2JxZUowTUVIQTV4RWF5b21HbzBNb015dk5zQ2tQWmxlUUFjN0FKcTF2RTlKN1NBN3dBZkJwTmZSLTd1a3ZUa2ZXLXRIcGlVckxjV3NMUDdpWlVmRTYxMjNqUnV4V08xb095OWV2Nl9PUzdxaTRYZklYYWhHSk51R0RsZDNtczY5dkHSAacBQVVfeXFMUC1iZ1B0QVgyTHp6akdBQmw5SHBhb3p4QUhuMFFpQ2ttN3ZQWjF3S0xkcHVQOF9UUWdSRXk0MnQ3a0ljcjM4ajBNa2JhOE92MmZfTkVseUZ4NDktYXFySjRFajlhNnE2UUFJOFNjX0g4SzRzWjMtMDMxeV96dFFTN3NuUUNBZUxzVnhiY2lyM0xFSlhVT0wzQmtjNTBVcFl4cG9qVHZhWEk?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPN0pYOFJUelVHRVJrY3JLTFFhVGctSEQyN2JxZUowTUVIQTV4RWF5b21HbzBNb015dk5zQ2tQWmxlUUFjN0FKcTF2RTlKN1NBN3dBZkJwTmZSLTd1a3ZUa2ZXLXRIcGlVckxjV3NMUDdpWlVmRTYxMjNqUnV4V08xb095OWV2Nl9PUzdxaTRYZklYYWhHSk51R0RsZDNtczY5dkHSAacBQVVfeXFMUC1iZ1B0QVgyTHp6akdBQmw5SHBhb3p4QUhuMFFpQ2ttN3ZQWjF3S0xkcHVQOF9UUWdSRXk0MnQ3a0ljcjM4ajBNa2JhOE92MmZfTkVseUZ4NDktYXFySjRFajlhNnE2UUFJOFNjX0g4SzRzWjMtMDMxeV96dFFTN3NuUUNBZUxzVnhiY2lyM0xFSlhVT0wzQmtjNTBVcFl4cG9qVHZhWEk?oc=5"" target=""_blank"">BPBD Agam: tim kesulitan menuju banjir bandang di Malalak</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA Sumatera Barat</font>",2025-11-27T02:30:42+00:00,ANTARA Sumatera Barat,banjir,news.google.com,Sumatera Barat,Banjir,bpbd agam tim kesulitan menuju banjir bandang di malalak antara sumatera barat,2025-11-27 02:30:42+00:00,2025-11-27 09:30:42+07:00,27-11-2025 09:30:42,27-11-2025,09:30:42,UNVERIFIED,,,,
Update BNPB Soal Banjir Bandang Longsor di 5 Wilayah Sumut - Bloomberg Technoz,https://news.google.com/rss/articles/CBMirgFBVV95cUxOcFNJYVJ4dEk4ZjZKc3E5eTNVdWdtM3paNWJ4dlJpZGhndGlBYlJvNXNLc2ZyVGNrVXFrMlVONG9xZnVoNUNaQ0FmWDJwWGhnanc3c1d3OWxYSGF1WDRtbXFYUEVzR0lMTGNzTHA3TDVSV21LZFBtQXRLSE9keXFuTDN6NURmSWpFUzhWR3pXZEt4WURBaDVZdWdTTkNSOE1KWXAwcGRiZTBRVVkwcVE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOcFNJYVJ4dEk4ZjZKc3E5eTNVdWdtM3paNWJ4dlJpZGhndGlBYlJvNXNLc2ZyVGNrVXFrMlVONG9xZnVoNUNaQ0FmWDJwWGhnanc3c1d3OWxYSGF1WDRtbXFYUEVzR0lMTGNzTHA3TDVSV21LZFBtQXRLSE9keXFuTDN6NURmSWpFUzhWR3pXZEt4WURBaDVZdWdTTkNSOE1KWXAwcGRiZTBRVVkwcVE?oc=5"" target=""_blank"">Update BNPB Soal Banjir Bandang Longsor di 5 Wilayah Sumut</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg Technoz</font>",2025-11-27T02:30:00+00:00,Bloomberg Technoz,banjir,news.google.com,Sumut,Banjir,update bnpb soal banjir bandang longsor di 5 wilayah sumut bloomberg technoz,2025-11-27 02:30:00+00:00,2025-11-27 09:30:00+07:00,27-11-2025 09:30:00,27-11-2025,09:30:00,UNVERIFIED,,,,
TNI AD Respon Cepat Tangani Banjir di Aceh dan Longsor di Sumbar - fajarpos.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxNZnFxdDZxRnRYYXdHeTZDTHlLMDBLd00yakZHbmhKamd2blZxQ1JjS0EzOUJnenNYT0lvblg5REstS1hNNTdKcVhUNEZQZ0phbVM4bk9WTlhvVHN0Skc5UzhQZXdIWkx5MkN3NElLOHE3eU9MSmtkd0gzMFotRG9EZnVWUlZYOWY0TWZ3dldYQWkwWWJQcnVPTHkxTUM0V1lwdi1R?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNZnFxdDZxRnRYYXdHeTZDTHlLMDBLd00yakZHbmhKamd2blZxQ1JjS0EzOUJnenNYT0lvblg5REstS1hNNTdKcVhUNEZQZ0phbVM4bk9WTlhvVHN0Skc5UzhQZXdIWkx5MkN3NElLOHE3eU9MSmtkd0gzMFotRG9EZnVWUlZYOWY0TWZ3dldYQWkwWWJQcnVPTHkxTUM0V1lwdi1R?oc=5"" target=""_blank"">TNI AD Respon Cepat Tangani Banjir di Aceh dan Longsor di Sumbar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">fajarpos.com</font>",2025-11-27T02:28:55+00:00,fajarpos.com,bencana alam,news.google.com,Sumbar,Banjir,tni ad respon cepat tangani banjir di aceh dan longsor di sumbar fajarpos com,2025-11-27 02:28:55+00:00,2025-11-27 09:28:55+07:00,27-11-2025 09:28:55,27-11-2025,09:28:55,UNVERIFIED,,,,
"Video Banjir Aceh Makan Korban Jiwa, Ribuan Orang Mengungsi - 20detik",https://news.google.com/rss/articles/CBMirwFBVV95cUxNaDNwemd6dWRLXzBrSjlHdW1yZzNqT0RMbmZuTDZLRU0zQ2o0MVhPT2RiVnZ2LU96SlJRcWZEMmQyWElfMDFZVkRqT2lrcnBlTFpnVEh0WkFnMDVNX2FqXzRmclY1WEw1dmtVTFFTUHRvWEU5dEZtS3ZKbEpUdVZyNUVEcGhjdWdPTjVfRVRUTUVBTmota3VONU5JaWpSdTgyREt2U2oyY3UyU0FFZWh3?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNaDNwemd6dWRLXzBrSjlHdW1yZzNqT0RMbmZuTDZLRU0zQ2o0MVhPT2RiVnZ2LU96SlJRcWZEMmQyWElfMDFZVkRqT2lrcnBlTFpnVEh0WkFnMDVNX2FqXzRmclY1WEw1dmtVTFFTUHRvWEU5dEZtS3ZKbEpUdVZyNUVEcGhjdWdPTjVfRVRUTUVBTmota3VONU5JaWpSdTgyREt2U2oyY3UyU0FFZWh3?oc=5"" target=""_blank"">Video Banjir Aceh Makan Korban Jiwa, Ribuan Orang Mengungsi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">20detik</font>",2025-11-27T02:27:25+00:00,20detik,banjir,news.google.com,Aceh,Banjir,video banjir aceh makan korban jiwa ribuan orang mengungsi 20detik,2025-11-27 02:27:25+00:00,2025-11-27 09:27:25+07:00,27-11-2025 09:27:25,27-11-2025,09:27:25,UNVERIFIED,,,,
"Empat Wilayah di Sumatera Utara Dilanda Banjir dan Longsor, Korban Jiwa Berjatuhan - GoSumut.com",https://news.google.com/rss/articles/CBMixwFBVV95cUxQbkJLY3pkQmpadS1HeEZkbGpvOXpOcm9rTXlkWUszWTFZQVBxNHlCM3JFN1FkdllfVG9JSTZwYnhZamV3eDFBTnVvZlNLWXR6dmdwQ1gxNW5pMEVjVFJ5ajBxaUpjNG50OEF6b0sxQ2xaZUhYd1NfT0JoeURld2llenp2U0Q5U254THktTnhjVkx3N2xXZ0hlTjNTUk1wMFhhQ0VGSVpGaFJKVjNpTER1bDNhSnlsUWxyYzhrWnBQNEFGTkVUTWhJ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQbkJLY3pkQmpadS1HeEZkbGpvOXpOcm9rTXlkWUszWTFZQVBxNHlCM3JFN1FkdllfVG9JSTZwYnhZamV3eDFBTnVvZlNLWXR6dmdwQ1gxNW5pMEVjVFJ5ajBxaUpjNG50OEF6b0sxQ2xaZUhYd1NfT0JoeURld2llenp2U0Q5U254THktTnhjVkx3N2xXZ0hlTjNTUk1wMFhhQ0VGSVpGaFJKVjNpTER1bDNhSnlsUWxyYzhrWnBQNEFGTkVUTWhJ?oc=5"" target=""_blank"">Empat Wilayah di Sumatera Utara Dilanda Banjir dan Longsor, Korban Jiwa Berjatuhan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GoSumut.com</font>",2025-11-27T02:24:00+00:00,GoSumut.com,banjir,news.google.com,Sumatera Utara,Banjir,empat wilayah di sumatera utara dilanda banjir dan longsor korban jiwa berjatuhan gosumut com,2025-11-27 02:24:00+00:00,2025-11-27 09:24:00+07:00,27-11-2025 09:24:00,27-11-2025,09:24:00,UNVERIFIED,,,,
